ID_W;ID_H;nfm;C5;E1_36B
1994;1001;2;17;0,2
1994;1002;4;44;1
1994;1003;1;17;
1994;1004;1;55;
1994;1005;2;29;0,5
1994;1006;3;17;
1994;1007;2;34;
1994;1008;2;17;
1994;1009;4;47;0,3
1994;1012;4;27;
1994;1013;2;47;
1994;1014;3;17;
1994;1015;1;17;
1994;1016;4;17;
1994;1017;4;43;
1994;1018;3;26;0,2
1994;1019;3;32;
1994;1020;4;22;
1994;1021;1;32;
1994;1022;2;34;0,3
1994;1024;2;45;0,4
1994;1025;1;27,6;
1994;1026;2;36;
1994;1028;2;17,8;0,5
1994;1030;5;42,6;0,2
1994;2001;5;26;
1994;2002;2;30;
1994;2003;1;14;
1994;2004;3;32,5;0,2
1994;2006;5;25;
1994;2007;2;17,8;
1994;2008;2;18,6;
1994;2009;2;28;
1994;2010;4;42;0,5
1994;3001;3;32;0,5
1994;3002;7;45;
1994;3003;3;35;
1994;3004;4;45;
1994;3005;2;33;
1994;3006;4;0;
1994;3007;4;33;
1994;3009;5;32;
1994;3010;6;38,1;
1994;4002;5;38,5;
1994;4003;1;16;0,5
1994;4004;5;38;
1994;4005;2;32;
1994;4006;1;24;
1994;4007;2;31;1
1994;4008;6;33;
1994;4009;2;30;0,2
1994;4010;3;16,7;
1994;5001;2;25;
1994;5002;1;45;
1994;5003;2;17,1;
1994;5004;4;28,6;
1994;5005;4;28,4;
1994;5006;2;45;
1994;5007;4;28,6;0,5
1994;5008;2;28,8;
1994;5009;2;17;
1994;5010;4;45;
1994;6001;3;27;0,4
1994;6002;2;18;
1994;6003;3;27;0,3
1994;6004;1;17;
1994;6005;3;29,5;
1994;6006;2;29;
1994;6007;2;18;
1994;6009;4;42;1
1994;6010;9;26;
1994;7001;4;29;0,5
1994;7002;3;30;
1994;7004;1;22;
1994;7005;3;20;
1994;7006;1;26;
1994;7007;4;36;
1994;7008;3;43;
1994;7009;2;25;
1994;7010;5;30;
1994;8001;2;21;
1994;8002;1;25;
1994;8003;3;32;
1994;8004;1;25;
1994;8005;2;36;
1994;8006;5;32;
1994;8007;2;18;
1994;8008;2;85,7;
1994;8009;2;18,7;
1994;8010;1;16,8;
1994;9001;2;27;1
1994;9003;1;28;0,5
1994;9004;3;28;0,5
1994;9005;3;36;2
1994;9006;2;19,5;
1994;9007;3;22,3;
1994;9009;2;36;
1994;9012;3;21;
1994;9013;1;20,1;
1994;9014;2;16,8;
1994;9015;1;18;0,2
1994;9016;3;16,9;
1994;9017;2;20,5;
1994;9019;3;17;
1994;9020;4;18;0,6
1994;9021;4;30;
1994;9022;4;25;0,5
1994;9023;2;40;
1994;9025;1;48;
1994;9026;1;26,1;
1994;9027;2;20;
1994;9028;4;25;0,5
1994;9029;3;49;
1994;9030;4;45;0,5
1994;9031;6;27;
1994;9032;1;24;
1994;9034;1;12;
1994;9036;4;50;0,5
1994;9037;2;20;
1994;9038;1;11;
1994;9039;3;16;0,3
1994;9040;2;16,7;0,2
1994;9041;2;15;0,1
1994;9042;6;28;1
1994;9043;2;24;
1994;9045;3;51;
1994;9046;3;26,4;
1994;9047;2;27;
1994;9048;1;47;
1994;9049;3;37;
1994;9050;1;22;
1994;9051;3;42;
1994;9053;2;45;
1994;9054;2;29,5;0,3
1994;9055;5;54,5;0,5
1994;9056;4;31,5;
1994;9057;3;30;0,5
1994;9058;3;44,6;
1994;9059;9;42,6;
1994;9060;2;0;
1994;9061;2;24;
1994;9063;2;29;
1994;9064;3;31;1
1994;9065;4;30;
1994;9066;4;32;1
1994;9067;6;45;
1994;9068;5;27;
1994;9069;2;38;
1994;9070;4;48;1
1994;9071;4;17;
1994;9072;1;30;
1994;9074;2;29,9;
1994;9075;2;30;
1994;9076;3;28,8;
1994;9077;3;26;
1994;9078;2;27,1;
1994;9079;5;38,2;0,5
1994;9080;2;28;
1994;9081;1;17,8;
1994;9082;4;28,8;
1994;9083;3;27;
1994;9084;3;40,4;
1994;9085;4;28;
1994;9086;3;18;
1994;9087;1;16,5;
1994;9088;2;16,5;
1994;9089;1;16,5;
1994;9090;3;32;2
1994;9092;2;27,7;1
1994;9093;2;43,4;
1994;9094;3;44;
1994;9095;4;44;
1994;9096;4;43;
1994;9097;3;15;
1994;9098;3;15;1
1994;9099;1;15;
1994;9101;3;18;
1994;9102;4;56;1
1994;9103;3;54;
1994;9104;3;20;
1994;9106;1;38;
1994;9107;3;20;
1994;9108;2;20;
1994;10001;2;28;
1994;10002;2;31;0,5
1994;10004;1;12;
1994;10005;3;44,9;2
1994;10006;3;46;
1994;10007;3;32;
1994;10008;2;27;0,5
1994;10009;3;32;
1994;10010;4;28;
1994;10011;5;43;
1994;10012;4;30;
1994;10013;3;28;
1994;10014;3;16,7;
1994;10015;5;38;
1994;10016;3;30;
1994;10017;3;29,4;0,2
1994;10019;4;27;
1994;10020;3;10,8;
1994;10021;2;16;
1994;10022;1;16;
1994;10023;2;48;0,3
1994;10024;3;28;
1994;10026;2;31;
1994;10027;5;49;
1994;10028;4;21;
1994;10029;4;15;0
1994;10031;5;63;
1994;10032;4;27;
1994;10034;5;24;
1994;10035;4;12;
1994;10038;4;28;
1994;10039;3;12;0,4
1994;10040;1;36;
1994;10041;3;28;
1994;10042;1;23,4;
1994;10043;2;14;
1994;10044;4;29,6;
1994;10045;4;29;
1994;10047;3;28;
1994;10048;1;26;
1994;10049;3;47,3;0,5
1994;10050;2;29,2;
1994;10051;4;14,8;
1994;10052;3;21,1;
1994;10053;4;29,1;
1994;10054;6;0;
1994;10056;4;25;0,8
1994;10057;1;26;
1994;10058;2;18;
1994;10059;4;15,1;
1994;10060;3;39,9;12
1994;10061;4;28;
1994;10064;2;30;0,4
1994;10066;5;43,8;
1994;10067;3;30;
1994;10068;4;27,7;
1994;10069;5;29;
1994;10070;4;38;0,95
1994;10071;2;26;
1994;10072;3;28,4;
1994;10074;5;36,7;
1994;10075;2;19,5;
1994;10076;4;28,6;
1994;10077;3;28,3;
1994;10078;1;39;
1994;10079;4;36,6;0,3
1994;10080;2;18,2;
1994;10081;2;28,9;
1994;10082;2;19,7;
1994;10083;3;29,7;
1994;10084;2;21;
1994;10085;4;35,8;1
1994;10086;2;32,9;
1994;10088;2;34,9;
1994;10089;1;35,8;
1994;10090;2;19,1;
1994;10091;4;45,6;
1994;11001;3;30;
1994;11002;2;24;
1994;11003;3;23;
1994;11004;5;52;
1994;11005;3;21,5;
1994;11006;4;19;
1994;11007;1;0;
1994;11008;4;0;
1994;11009;1;0;
1994;11010;4;24;
1994;12001;7;46;
1994;12002;4;31,6;
1994;12003;4;24,5;
1994;12004;1;32,9;
1994;12005;3;47;
1994;12006;1;16,5;
1994;12007;3;32;
1994;12008;1;17,6;
1994;12009;2;32,1;
1994;12010;1;26,8;
1994;12011;2;19,6;0,4
1994;12012;4;31,5;0,2
1994;12013;2;31,5;
1994;12014;5;46,6;0,2
1994;12015;3;46,1;
1994;12016;3;19;
1994;12017;4;28;0,5
1994;12018;2;27;
1994;12020;3;45;
1994;12021;1;26;
1994;12022;3;27;
1994;12023;2;27;
1994;12024;2;28;
1994;12025;3;28;
1994;12026;1;15,7;
1994;12027;2;18;
1994;12028;1;13;
1994;12029;4;29;
1994;12030;1;15;
1994;12031;4;28;
1994;12032;1;24;
1994;12033;2;36;
1994;12034;4;34;
1994;12035;1;34;
1994;12037;10;30;
1994;12038;4;34;
1994;12039;5;36;
1994;12040;2;24;
1994;12041;2;0;
1994;12042;3;0;
1994;12043;1;18,4;
1994;12044;1;0;
1994;12045;3;0;
1994;12046;1;0;
1994;12047;2;0;
1994;12048;2;0;
1994;12049;1;54;
1994;12050;2;0;
1994;12051;1;28;
1994;12052;3;18;
1994;12053;3;28;
1994;12055;3;18;
1994;12056;2;28;
1994;12057;1;28;
1994;12058;3;16;
1994;12059;4;16;
1994;12060;1;18;
1994;12061;3;19;
1994;12062;2;30;
1994;12063;5;56;
1994;12065;2;32;
1994;12066;2;13;
1994;12067;1;12,8;
1994;12068;1;32;
1994;12069;3;45;
1994;12070;2;22;
1994;12071;2;19,2;
1994;12072;4;28;
1994;12073;5;40;
1994;12074;4;30;
1994;12075;1;16;
1994;12076;4;19,8;
1994;12077;1;19,5;
1994;12078;4;19;
1994;12079;1;18;
1994;12080;5;28;
1994;12081;5;36;1
1994;12083;1;16;
1994;12085;5;50;
1994;12086;2;30;
1994;12087;1;28;
1994;12088;3;52;
1994;12089;2;39;0,5
1994;12090;1;29;
1994;12091;2;29;
1994;12092;2;34;
1994;13001;3;43;
1994;13002;5;40;
1994;13003;4;29;
1994;13004;10;45;
1994;13005;4;22;
1994;13006;4;32;
1994;13007;4;24;
1994;13008;1;16;0,5
1994;13009;1;14;
1994;13010;3;22;
1994;14001;2;32;
1994;14002;1;16;
1994;14003;2;25;
1994;14004;5;37;
1994;14005;2;28,4;
1994;14006;3;60;
1994;14008;4;22;
1994;14010;4;42;
1994;15001;2;45;
1994;15002;3;50;
1994;15003;3;60;2
1994;15004;2;54;
1994;15005;2;60;
1994;15006;3;42;
1994;15007;2;41;
1994;15008;2;54;
1994;15009;3;36;
1994;15010;2;54;
1994;16001;5;48;
1994;16002;2;48;
1994;16003;2;66;
1994;16004;3;0;0,25
1994;16005;1;44;
1994;16006;3;48;
1994;16007;2;36;
1994;16008;2;54;
1994;16009;3;48;
1994;16010;3;48;
1994;17001;1;30;
1994;17002;1;15;
1994;17003;2;30;
1994;17004;1;4;
1994;17005;2;60;
1994;17006;4;47;
1994;17007;1;10;
