Date;Import
31.01.2017;13618
28.02.2017;15476
31.03.2017;19003
30.04.2017;18264
31.05.2017;19636
30.06.2017;20820
31.07.2017;20842
31.08.2017;22447
30.09.2017;20558
31.10.2017;21526
30.11.2017;22012
31.12.2017;24182
31.01.2018;16726
28.02.2018;19130
31.03.2018;21659
30.04.2018;20991
31.05.2018;21354
30.06.2018;21061
31.07.2018;21244
31.08.2018;21671
30.09.2018;19809
31.10.2018;21500
30.11.2018;21282
31.12.2018;22429
31.01.2019;16437
28.02.2019;18256
31.03.2019;20966
30.04.2019;22061
31.05.2019;20218
30.06.2019;20013
31.07.2019;22377
31.08.2019;21996
30.09.2019;21015
31.10.2019;23908
30.11.2019;23262
31.12.2019;24389
31.01.2020;17141
29.02.2020;18489
31.03.2020;20544
30.04.2020;17587
31.05.2020;17241
30.06.2020;19122
31.07.2020;19796
31.08.2020;20021
30.09.2020;20564
31.10.2020;21946
30.11.2020;22818
31.12.2020;25111
31.01.2021;17499
28.02.2021;20953
31.03.2021;25688
